Well,Cycle,Target Name,Rn
A1,1,gene,51784.52344
A1,2,gene,53190.10156
A1,3,gene,53662.4375
A1,4,gene,53801.39063
A1,5,gene,54361.58594
A1,6,gene,54820.41016
A1,7,gene,54872.52344
A1,8,gene,54263.42188
A1,9,gene,54099.875
A1,10,gene,54365.44531
A1,11,gene,54923.25781
A1,12,gene,54941.26172
A1,13,gene,54316.32813
A1,14,gene,54445.14844
A1,15,gene,54694.94141
A1,16,gene,54840.19531
A1,17,gene,54416.125
A1,18,gene,54737.99219
A1,19,gene,54557.34766
A1,20,gene,54831.91797
A1,21,gene,54574.16016
A1,22,gene,54792.10156
A1,23,gene,54440.17188
A1,24,gene,54949.32031
A1,25,gene,54372.25781
A1,26,gene,54579.04297
A1,27,gene,54753.00391
A1,28,gene,55040.85547
A1,29,gene,54599.78516
A1,30,gene,55726.04688
A1,31,gene,56141.70313
A1,32,gene,57163.49609
A1,33,gene,59896.56641
A1,34,gene,66066.46875
A1,35,gene,76257.73438
A1,36,gene,94666.72656
A1,37,gene,123191.9219
A1,38,gene,153428.125
A1,39,gene,173737.0313
A1,40,gene,190218.8125
A1,41,gene,205552.1719
A1,42,gene,221948.3438
A1,43,gene,239440.3125
A1,44,gene,258203.8594
A1,45,gene,272642.0938
A2,1,gene,58976.37891
A2,2,gene,59907.10156
A2,3,gene,59833.1875
A2,4,gene,60394.15234
A2,5,gene,59975.56641
A2,6,gene,59473.36328
A2,7,gene,59815.18359
A2,8,gene,59558.40625
A2,9,gene,59725.54688
A2,10,gene,59855.39453
A2,11,gene,59447.58594
A2,12,gene,58726.05859
A2,13,gene,59139.91406
A2,14,gene,59563.57422
A2,15,gene,59190.10547
A2,16,gene,58960.53125
A2,17,gene,59085.19141
A2,18,gene,58943.08203
A2,19,gene,58502.39063
A2,20,gene,58502.78125
A2,21,gene,58681.71875
A2,22,gene,58453.28906
A2,23,gene,58166.19531
A2,24,gene,58694.36328
A2,25,gene,58109.52344
A2,26,gene,58091.07031
A2,27,gene,58504.67969
A2,28,gene,57893.07813
A2,29,gene,57639.03906
A2,30,gene,57897.53125
A2,31,gene,57919.17578
A2,32,gene,57562.84375
A2,33,gene,57843.34766
A2,34,gene,58083.78906
A2,35,gene,58129.21875
A2,36,gene,57825.94141
A2,37,gene,58357.73047
A2,38,gene,58983.23047
A2,39,gene,60368.10156
A2,40,gene,63012.75781
A2,41,gene,67388.63281
A2,42,gene,76720.08594
A2,43,gene,89787.84375
A2,44,gene,106916.3281
A2,45,gene,120606.8047
A3,1,gene,59657.57813
A3,2,gene,62867.03906
A3,3,gene,62242.29297
A3,4,gene,61992.65625
A3,5,gene,61435.29297
A3,6,gene,61359.32031
A3,7,gene,61806.67188
A3,8,gene,61489.09766
A3,9,gene,61412.98438
A3,10,gene,61148.28906
A3,11,gene,61306.35156
A3,12,gene,60756.79297
A3,13,gene,61049.69922
A3,14,gene,61219.45313
A3,15,gene,61009.99609
A3,16,gene,61206.82813
A3,17,gene,60518.23438
A3,18,gene,61079.67578
A3,19,gene,60649.91016
A3,20,gene,60908.42188
A3,21,gene,60330.53906
A3,22,gene,60662.5
A3,23,gene,60007.38281
A3,24,gene,60210.83594
A3,25,gene,60282.65234
A3,26,gene,60440.75781
A3,27,gene,60452.21094
A3,28,gene,60066.17969
A3,29,gene,60254.6875
A3,30,gene,60397.48438
A3,31,gene,60138.95313
A3,32,gene,60004.57031
A3,33,gene,61246.53516
A3,34,gene,61156.54688
A3,35,gene,61613.64844
A3,36,gene,63014.34766
A3,37,gene,64966.82422
A3,38,gene,68628.78906
A3,39,gene,76216.46875
A3,40,gene,89229.89063
A3,41,gene,111054.3047
A3,42,gene,140155.25
A3,43,gene,168352.8281
A3,44,gene,190319.7656
A3,45,gene,210141.5469
A4,1,gene,91122.14844
A4,2,gene,91424.53906
A4,3,gene,91128.3125
A4,4,gene,90967.42969
A4,5,gene,90790.10938
A4,6,gene,90784.94531
A4,7,gene,90725.84375
A4,8,gene,90621.65625
A4,9,gene,90328.30469
A4,10,gene,90703.59375
A4,11,gene,90596.63281
A4,12,gene,90053.25781
A4,13,gene,89879.1875
A4,14,gene,90479.8125
A4,15,gene,90316.75781
A4,16,gene,90278.34375
A4,17,gene,90454.15625
A4,18,gene,90370.45313
A4,19,gene,91027.02344
A4,20,gene,91307.64844
A4,21,gene,92978.75
A4,22,gene,94710.35938
A4,23,gene,98174.5
A4,24,gene,103940.0313
A4,25,gene,114496.0313
A4,26,gene,133820.625
A4,27,gene,164454.1406
A4,28,gene,206063.75
A4,29,gene,239764.75
A4,30,gene,253088.8438
A4,31,gene,262641
A4,32,gene,273811
A4,33,gene,288716.9063
A4,34,gene,303634.4063
A4,35,gene,319731.3438
A4,36,gene,334762.1875
A4,37,gene,350154.1875
A4,38,gene,365198.5313
A4,39,gene,379582.8438
A4,40,gene,392968.1875
A4,41,gene,405755.7188
A4,42,gene,416226.9063
A4,43,gene,428920.0313
A4,44,gene,438998.75
A4,45,gene,448299.2813
A5,1,gene,78598.875
A5,2,gene,79263.71875
A5,3,gene,78939.19531
A5,4,gene,78679.04688
A5,5,gene,78718.11719
A5,6,gene,78932.69531
A5,7,gene,78659.82031
A5,8,gene,78628.55469
A5,9,gene,78074.3125
A5,10,gene,78295.02344
A5,11,gene,78178.07031
A5,12,gene,77790.14063
A5,13,gene,77681.20313
A5,14,gene,77815.64063
A5,15,gene,78204.14063
A5,16,gene,77854.79688
A5,17,gene,77897.75
A5,18,gene,77775.5
A5,19,gene,77735.84375
A5,20,gene,77680.79688
A5,21,gene,78367.45313
A5,22,gene,78581.34375
A5,23,gene,79469.10938
A5,24,gene,80962.77344
A5,25,gene,83736.5625
A5,26,gene,88790.92969
A5,27,gene,97239.8125
A5,28,gene,112367.4141
A5,29,gene,137401.3281
A5,30,gene,171983.8906
A5,31,gene,202106.125
A5,32,gene,214505.9219
A5,33,gene,223972.9219
A5,34,gene,233811.6406
A5,35,gene,245554.2969
A5,36,gene,257511.5156
A5,37,gene,271069.25
A5,38,gene,285949.8438
A5,39,gene,299795.6875
A5,40,gene,313048.6563
A5,41,gene,326977
A5,42,gene,338684.125
A5,43,gene,351882.2188
A5,44,gene,363082.5625
A5,45,gene,372809.9375
A6,1,gene,49418.45703
A6,2,gene,49952.66797
A6,3,gene,50626.50781
A6,4,gene,50256.44922
A6,5,gene,50248.71094
A6,6,gene,50286.70703
A6,7,gene,50277.12109
A6,8,gene,50079.28516
A6,9,gene,49929.83984
A6,10,gene,50706.21094
A6,11,gene,50445.26563
A6,12,gene,50295.17969
A6,13,gene,50068.62109
A6,14,gene,50571.02734
A6,15,gene,50343.34375
A6,16,gene,50389.60156
A6,17,gene,50269.80859
A6,18,gene,50518.02344
A6,19,gene,50541.67578
A6,20,gene,50464.11719
A6,21,gene,50486.08594
A6,22,gene,50415.74219
A6,23,gene,50490.13281
A6,24,gene,51003.46875
A6,25,gene,51002.64844
A6,26,gene,51939.64453
A6,27,gene,53414.06641
A6,28,gene,56011.07813
A6,29,gene,61308.63281
A6,30,gene,71399.11719
A6,31,gene,87857.38281
A6,32,gene,108982.7656
A6,33,gene,131211
A6,34,gene,151203.1406
A6,35,gene,170087.875
A6,36,gene,186307.7969
A6,37,gene,200719.1875
A6,38,gene,214092.3125
A6,39,gene,226001.1094
A6,40,gene,236751.7656
A6,41,gene,245696.7656
A6,42,gene,253931.7969
A6,43,gene,262172.1875
A6,44,gene,269560.6563
A6,45,gene,276299
B1,1,gene,55041.52734
B1,2,gene,55838.83203
B1,3,gene,56711.92188
B1,4,gene,56491.94922
B1,5,gene,56451.36719
B1,6,gene,56676.88281
B1,7,gene,56804.58203
B1,8,gene,56598.50391
B1,9,gene,56371.02734
B1,10,gene,56499.15234
B1,11,gene,56131.85547
B1,12,gene,56407.91406
B1,13,gene,56739.97656
B1,14,gene,56390.32813
B1,15,gene,56727.23438
B1,16,gene,56338.77734
B1,17,gene,56081.01172
B1,18,gene,56098.85938
B1,19,gene,56011.61328
B1,20,gene,55814.12109
B1,21,gene,55594.12891
B1,22,gene,55801.64063
B1,23,gene,55605.42188
B1,24,gene,55522.0625
B1,25,gene,55641.82031
B1,26,gene,55377.19531
B1,27,gene,55126.90234
B1,28,gene,55055.51563
B1,29,gene,54869.00391
B1,30,gene,55279.07031
B1,31,gene,54804.53125
B1,32,gene,54760.61328
B1,33,gene,55096.08203
B1,34,gene,54851.22266
B1,35,gene,54767.31641
B1,36,gene,54623.76172
B1,37,gene,54855.89063
B1,38,gene,54656.29688
B1,39,gene,54693.69141
B1,40,gene,54504.40625
B1,41,gene,54306.46875
B1,42,gene,54234.36328
B1,43,gene,54719.83203
B1,44,gene,54555.47266
B1,45,gene,54769.75
B2,1,gene,57616.73828
B2,2,gene,56900.53906
B2,3,gene,56662.3125
B2,4,gene,56657.25781
B2,5,gene,56714.80078
B2,6,gene,56321.58594
B2,7,gene,56195.68359
B2,8,gene,56391.79297
B2,9,gene,56516.96484
B2,10,gene,56428.10938
B2,11,gene,56094.70703
B2,12,gene,56131.57031
B2,13,gene,56189.98047
B2,14,gene,56079.14844
B2,15,gene,56255.38672
B2,16,gene,56434.44141
B2,17,gene,56322.63281
B2,18,gene,56511.10156
B2,19,gene,56154.35547
B2,20,gene,55760.16406
B2,21,gene,56038.44922
B2,22,gene,55487.75781
B2,23,gene,55421.08984
B2,24,gene,55831.12109
B2,25,gene,55484.15234
B2,26,gene,56076.84766
B2,27,gene,55119.25
B2,28,gene,55335.05469
B2,29,gene,55125.05859
B2,30,gene,55717.84375
B2,31,gene,55150.78516
B2,32,gene,55535.20703
B2,33,gene,55454.80469
B2,34,gene,54955.41797
B2,35,gene,55259.48828
B2,36,gene,55009.43359
B2,37,gene,55115.82031
B2,38,gene,55089.00781
B2,39,gene,54940.43359
B2,40,gene,54747.4375
B2,41,gene,54874.22656
B2,42,gene,54791.73047
B2,43,gene,54920.27344
B2,44,gene,54599.12109
B2,45,gene,54617.875
B3,1,gene,81230.75
B3,2,gene,79892.73438
B3,3,gene,79241.75
B3,4,gene,79196.0625
B3,5,gene,79155.1875
B3,6,gene,79445.23438
B3,7,gene,78546.59375
B3,8,gene,79413.01563
B3,9,gene,78911.35156
B3,10,gene,78762.60938
B3,11,gene,78605.22656
B3,12,gene,78388.04688
B3,13,gene,78974.01563
B3,14,gene,78637.80469
B3,15,gene,78756.13281
B3,16,gene,78671.07813
B3,17,gene,78388.60156
B3,18,gene,78304.54688
B3,19,gene,78225.95313
B3,20,gene,78230.19531
B3,21,gene,78195.26563
B3,22,gene,77690.28125
B3,23,gene,77816.24219
B3,24,gene,78090.34375
B3,25,gene,77397.34375
B3,26,gene,77856.8125
B3,27,gene,77289.19531
B3,28,gene,77343.45313
B3,29,gene,76929.46875
B3,30,gene,77053.34375
B3,31,gene,77176.375
B3,32,gene,77084.05469
B3,33,gene,77157.96875
B3,34,gene,76923.72656
B3,35,gene,76538.89063
B3,36,gene,76814.46875
B3,37,gene,76257.91406
B3,38,gene,76251.08594
B3,39,gene,76144.78906
B3,40,gene,76519.92969
B3,41,gene,76206.29688
B3,42,gene,75997.48438
B3,43,gene,76675.99219
B3,44,gene,76251.17969
B3,45,gene,75932.46875
B4,1,gene,75093.125
B4,2,gene,73747.66406
B4,3,gene,73476.45313
B4,4,gene,73493.28906
B4,5,gene,73802.92188
B4,6,gene,73557.84375
B4,7,gene,73248.15625
B4,8,gene,73113.48438
B4,9,gene,73296.26563
B4,10,gene,73336.49219
B4,11,gene,73588.60938
B4,12,gene,73501.67188
B4,13,gene,72726.3125
B4,14,gene,72959.98438
B4,15,gene,72868.1875
B4,16,gene,72663
B4,17,gene,72596.82031
B4,18,gene,72660.13281
B4,19,gene,72409.5625
B4,20,gene,72437.01563
B4,21,gene,72266.00781
B4,22,gene,72070.32813
B4,23,gene,72220.38281
B4,24,gene,72133.19531
B4,25,gene,72042.21094
B4,26,gene,71787.46875
B4,27,gene,71728.65625
B4,28,gene,71707.34375
B4,29,gene,71307.26563
B4,30,gene,71302.36719
B4,31,gene,71281.38281
B4,32,gene,71672.46875
B4,33,gene,70887.50781
B4,34,gene,70228.75781
B4,35,gene,70834.84375
B4,36,gene,70662.85938
B4,37,gene,70366.60156
B4,38,gene,70474.91406
B4,39,gene,70306.60938
B4,40,gene,70094.72656
B4,41,gene,70641.5625
B4,42,gene,70383.46875
B4,43,gene,70015.78125
B4,44,gene,70144.49219
B4,45,gene,70293.28906
B5,1,gene,75161.03125
B5,2,gene,74258.11719
B5,3,gene,73839.64844
B5,4,gene,73548.53125
B5,5,gene,73643.60156
B5,6,gene,73719.17969
B5,7,gene,73803.6875
B5,8,gene,73985.60938
B5,9,gene,73757.02344
B5,10,gene,74094.10156
B5,11,gene,74167.27344
B5,12,gene,74259.26563
B5,13,gene,74750.05469
B5,14,gene,74579.20313
B5,15,gene,74869.22656
B5,16,gene,74866.82031
B5,17,gene,75360.96094
B5,18,gene,75133.67188
B5,19,gene,75342.71094
B5,20,gene,75526.14063
B5,21,gene,75702.71094
B5,22,gene,75669.75781
B5,23,gene,75899.36719
B5,24,gene,76241.40625
B5,25,gene,76227.73438
B5,26,gene,76369.22656
B5,27,gene,76266.61719
B5,28,gene,76776.82813
B5,29,gene,76519.49219
B5,30,gene,76835.375
B5,31,gene,76953.98438
B5,32,gene,77357.03906
B5,33,gene,77204.72656
B5,34,gene,77593.11719
B5,35,gene,77837.09375
B5,36,gene,78070.64844
B5,37,gene,78279.74219
B5,38,gene,78674.53906
B5,39,gene,78860.88281
B5,40,gene,78886.50781
B5,41,gene,79277.80469
B5,42,gene,79277.41406
B5,43,gene,80056.05469
B5,44,gene,80119.57813
B5,45,gene,80434.21875
B6,1,gene,100973.1016
B6,2,gene,98683
B6,3,gene,98659.21094
B6,4,gene,98101.30469
B6,5,gene,97554.28125
B6,6,gene,97076.21875
B6,7,gene,96974.03906
B6,8,gene,96827.1875
B6,9,gene,96665.13281
B6,10,gene,96812.35938
B6,11,gene,96270.84375
B6,12,gene,96391.64063
B6,13,gene,95921
B6,14,gene,95769.625
B6,15,gene,95527.32031
B6,16,gene,95551.92969
B6,17,gene,95542.3125
B6,18,gene,95257.96875
B6,19,gene,95169.47656
B6,20,gene,94700.14063
B6,21,gene,94475.73438
B6,22,gene,94233.41406
B6,23,gene,94485.89063
B6,24,gene,93735.23438
B6,25,gene,93679.44531
B6,26,gene,93306.85156
B6,27,gene,93281.13281
B6,28,gene,93020.66406
B6,29,gene,92895.10938
B6,30,gene,92931.89063
B6,31,gene,92637.875
B6,32,gene,92312.66406
B6,33,gene,92387.14063
B6,34,gene,92331.57813
B6,35,gene,92265.83594
B6,36,gene,91875.39063
B6,37,gene,92297.11719
B6,38,gene,91719.375
B6,39,gene,91871.69531
B6,40,gene,91560.85938
B6,41,gene,90920.28906
B6,42,gene,91333.25
B6,43,gene,91083.4375
B6,44,gene,91095.26563
B6,45,gene,91330.82813
C1,1,gene,55152.75391
C1,2,gene,55741.54297
C1,3,gene,56469.67188
C1,4,gene,55932.27344
C1,5,gene,56282.16406
C1,6,gene,56583.71875
C1,7,gene,56733.68359
C1,8,gene,56512.34375
C1,9,gene,56713.30469
C1,10,gene,56785.8125
C1,11,gene,57034.94141
C1,12,gene,56790.65234
C1,13,gene,57838.75
C1,14,gene,57904.70313
C1,15,gene,58774.24609
C1,16,gene,60625.1875
C1,17,gene,63562.14453
C1,18,gene,69073.51563
C1,19,gene,80446.10156
C1,20,gene,101096.7188
C1,21,gene,136718.625
C1,22,gene,194484.4375
C1,23,gene,271844.6563
C1,24,gene,334921.9375
C1,25,gene,363647.5938
C1,26,gene,392188.0313
C1,27,gene,418869.0313
C1,28,gene,439490.5625
C1,29,gene,455749.0313
C1,30,gene,469892.9688
C1,31,gene,480014.0938
C1,32,gene,488377.4375
C1,33,gene,495320.3438
C1,34,gene,501350.4688
C1,35,gene,506573.25
C1,36,gene,510224
C1,37,gene,514238.6563
C1,38,gene,518144.0938
C1,39,gene,519823.4688
C1,40,gene,522615.4688
C1,41,gene,524411.0625
C1,42,gene,525725
C1,43,gene,528740.5625
C1,44,gene,529034.875
C1,45,gene,530793.375
C2,1,gene,29346.82227
C2,2,gene,29164.39258
C2,3,gene,29337.16797
C2,4,gene,29793.35742
C2,5,gene,29988.04297
C2,6,gene,29896.10352
C2,7,gene,29693.66211
C2,8,gene,29832.70313
C2,9,gene,29844.26758
C2,10,gene,30083.10742
C2,11,gene,29977.86133
C2,12,gene,30259.61719
C2,13,gene,30812.80078
C2,14,gene,31130.96094
C2,15,gene,32301.86914
C2,16,gene,34650.08984
C2,17,gene,37920.16406
C2,18,gene,43838.15234
C2,19,gene,53733.71094
C2,20,gene,67770.79688
C2,21,gene,82316.21094
C2,22,gene,92652.60156
C2,23,gene,100794.9844
C2,24,gene,109851.6172
C2,25,gene,117515.1484
C2,26,gene,125061.0078
C2,27,gene,132231.0781
C2,28,gene,138212.375
C2,29,gene,143959.5469
C2,30,gene,147902.3906
C2,31,gene,152047.1563
C2,32,gene,155316.9531
C2,33,gene,158908.6875
C2,34,gene,160982.6406
C2,35,gene,163314.1406
C2,36,gene,165512.5313
C2,37,gene,167160.5625
C2,38,gene,169079.9063
C2,39,gene,170040.7656
C2,40,gene,171391.1875
C2,41,gene,172365.8281
C2,42,gene,173585.1875
C2,43,gene,174584.75
C2,44,gene,175540.6094
C2,45,gene,175839.6563
C3,1,gene,84813.03125
C3,2,gene,83415.61719
C3,3,gene,82712.70313
C3,4,gene,82060
C3,5,gene,81334.99219
C3,6,gene,81302.04688
C3,7,gene,80391.07031
C3,8,gene,80219.14844
C3,9,gene,80075.90625
C3,10,gene,79244.55469
C3,11,gene,79094.07031
C3,12,gene,79202.9375
C3,13,gene,79341.9375
C3,14,gene,79969.03125
C3,15,gene,81946.53125
C3,16,gene,85210.46094
C3,17,gene,91445.57031
C3,18,gene,103745.8672
C3,19,gene,125740.2109
C3,20,gene,163553.7813
C3,21,gene,219499.7344
C3,22,gene,279522.1875
C3,23,gene,312848.0938
C3,24,gene,340454.8125
C3,25,gene,365685.1875
C3,26,gene,387755.4375
C3,27,gene,406909.5938
C3,28,gene,420614.625
C3,29,gene,432575.8438
C3,30,gene,441630.4375
